#진원시,규모,위도,경도,위치
2016-11-10 22:37,2.5,36.46N,129.89E,경북 영덕군 동쪽 47km 해역
2016-11-09 20:55,2.3,36.55N,129.6E,경북 영덕군 북동쪽 26km 해역
2016-11-06 6:26,3.5,33.76N,125.07E,전남 신안군 흑산면 남남서쪽 106km 해역
2016-11-03 23:35,2.6,35.32 N,128.49 E,경남 함안군 북동쪽 9km 지역
2016-11-03 10:36,2.3,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-11-03 10:02,2.3,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-11-03 3:46,2.1,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
2016-11-02 3:01,2.4,33.52 N,126.88 E,제주 제주시 동쪽 32km 지역
2016-10-25 19:57,2.4,35.70 N,129.37 E,경북 경주시 남동쪽 21km 지역
2016-10-25 3:23,2,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-10-24 9:02,2.3,37.25 N,127.02 E,경기 수원시 권선구 남쪽 2km 지역
2016-10-23 3:00,2.7,35.78 N,129.2 E,경북 경주시 남남서쪽 7km 지역
2016-10-21 12:47,2.6,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역
2016-10-21 10:13,2,35.46 N,126.87 E,충남 청양군 동쪽 6km 지역
2016-10-20 12:17,2.4,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-10-15 23:49,2.2,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
2016-10-15 18:55,2.5,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역
2016-10-14 8:20,2.3,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-10-12 0:29,2.9,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-10-10 22:59,3.3,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
2016-10-09 14:03,2.2,35.08 N,126.93 E,광주 동구 남쪽 7km 지역
2016-10-07 17:17,2.2,35.77 N,129.23 E,경북 경주시 남쪽 8km 지역
2016-10-05 23:29,2.3,38.76 N,125.62 E,북한 황해북도 송림 북북서쪽 3km 지역
2016-10-05 21:16,2.4,33.81 N,127.28 E,전남 여수시 거문도 남쪽 24km 해역
2016-10-04 15:16,2.6,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역
2016-10-02 20:53,3,35.75 N,129.19 E,경북 경주시 남남서쪽 10km 지역
2016-10-01 17:00,2.3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-10-01 13:04,2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-30 21:52,2.2,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
2016-09-30 18:06,2.3,35.76 N,129.16 E,경북 경주시 남남서쪽 10km 지역
2016-09-30 16:24,2,35.77 N,129.16 E,경북 경주시 남남서쪽 9km 지역
2016-09-30 11:09,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-28 21:10,2.7,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역
2016-09-28 19:00,2.9,38.74 N,125.69 E,북한 황해북도 송림 동쪽 5km 지역
2016-09-28 18:54,2.8,38.74 N,125.69 E,북한 황해북도 송림 동쪽 5km 지역
2016-09-28 16:34,3.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-24 19:56,2.5,35.79 N,129.19 E,경북 경주시 남남서쪽 6km 지역
2016-09-23 18:21,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-22 3:22,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-22 0:01,2.3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-21 11:53,3.5,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역
2016-09-21 11:36,2.2,35.78 N,129.15 E,경북 경주시 남서쪽 9km 지역
2016-09-21 3:36,2.9,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역
2016-09-21 0:59,2.1,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역
2016-09-20 20:03,2.1,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역
2016-09-20 15:05,2.1,38.39 N,128.09 E,강원 양구군 북북동쪽 33km 지역(북한지역)
2016-09-20 9:58,2.4,35.76 N,129.2 E,경북 경주시 남남서쪽 9km 지역
2016-09-19 21:00,2.1,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역
2016-09-19 20:33,4.5,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역
2016-09-19 9:17,2.1,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역
